id,vector,valor_vector,huella,reduccion,huella/capita
6.4,E1,"(0, 'Actual')",4303.346180271983,0,1.5682748470378947
7.1,E1,"(0, 'Actual')",9668.424111714521,0,0.3724497905048161
7.2,E1,"(0, 'Actual')",1135.5429483370513,0,0.23432582507987026
7.3,E1,"(0, 'Actual')",6881.474405862495,0,0.7381180313056414
7.4,E1,"(0, 'Actual')",1633.913779479649,0,0.45973938646022766
7.5,E1,"(0, 'Actual')",860.8582321065146,0,0.17203401920593817
8.1,E1,"(0, 'Actual')",8927.001508343477,0,0.36736631721578095
8.2,E1,"(0, 'Actual')",2471.8791791936187,0,0.24238862318039014
8.3,E1,"(0, 'Actual')",5170.600320655362,0,0.5107774691944446
8.4,E1,"(0, 'Actual')",2258.8953334597873,0,0.23645926237410103
8.5,E1,"(0, 'Actual')",1164.0093311124688,0,0.32119462779041635
9.1,E1,"(0, 'Actual')",6352.119468113422,0,0.4151712070662367
9.2,E1,"(0, 'Actual')",1848.5061703864594,0,0.10964506615970457
9.3,E1,"(0, 'Actual')",2093.5943546930753,0,0.3496900542330174
9.4,E1,"(0, 'Actual')",1370.069247595326,0,0.13750193171370192
9.5,E1,"(0, 'Actual')",6136.506397079853,0,1.6018027661393508
1.1,E1,"(0, 'PNIEC')",3099.266337336542,0.23609969232667716,0.9991187418879891
1.2,E1,"(0, 'PNIEC')",4790.269887536615,0.24075232260376978,1.2108872314298824
1.3,E1,"(0, 'PNIEC')",4966.777643850764,0.2382310323521323,0.7409783147621609
1.4,E1,"(0, 'PNIEC')",2726.856869740353,0.23063108223872977,0.5741960138429886
1.5,E1,"(0, 'PNIEC')",3004.0449195994465,0.23127155203951963,0.7955627435379891
1.6,E1,"(0, 'PNIEC')",14179.843920829106,0.24428220953169927,2.4890019169438484
10.1,E1,"(0, 'PNIEC')",5595.960722387207,0.2238462943780946,0.2913955802117896
10.2,E1,"(0, 'PNIEC')",3351.4247706108044,0.22475051773720892,0.27863524863741307
10.3,E1,"(0, 'PNIEC')",10408.936208935698,0.21577624070218254,0.4670407057448602
10.4,E1,"(0, 'PNIEC')",984.6954419230858,0.22963194231155518,0.32391297431680455
10.5,E1,"(0, 'PNIEC')",2292.6700814547175,0.23109672022876884,0.3040676500603074
10.6,E1,"(0, 'PNIEC')",23164.56460075442,0.2364437054564331,8.365678801283648
10.7,E1,"(0, 'PNIEC')",5886.909662804685,0.2321743742746682,0.7658266765714433
11.1,E1,"(0, 'PNIEC')",10529.628801746085,0.2496079700278724,1.1089656452602512
11.2,E1,"(0, 'PNIEC')",8159.855595005243,0.23161739072675827,0.42497034503438585
11.3,E1,"(0, 'PNIEC')",4404.989091325457,0.2316108471525231,0.3434957182880113
11.4,E1,"(0, 'PNIEC')",1984.6550356097064,0.2354731806046726,0.2519237161220749
11.5,E1,"(0, 'PNIEC')",2961.0621543521825,0.2520222687063535,0.48637683218662653
12.1,E1,"(0, 'PNIEC')",5123.691969733385,0.2353840015637153,0.20867885674798944
12.2,E1,"(0, 'PNIEC')",3895.0783646871014,0.2323198766937275,0.4470934762037536
12.3,E1,"(0, 'PNIEC')",4192.187081005731,0.2317404927288817,0.2864885588058314
12.4,E1,"(0, 'PNIEC')",1706.9288714227164,0.23166866207774994,0.37672232871832184
12.5,E1,"(0, 'PNIEC')",9709.78945567255,0.23178661351470456,0.739906229952949
13.1,E1,"(0, 'PNIEC')",1800.1927421950338,0.2354763360871648,0.21243718930788694
13.2,E1,"(0, 'PNIEC')",2898.189126581763,0.23531694494720143,0.2480476828638962
13.3,E1,"(0, 'PNIEC')",3207.4404753769013,0.23226404219909383,0.457291199797106
13.4,E1,"(0, 'PNIEC')",2995.315759266655,0.23226404219909375,0.5550992882258441
13.5,E1,"(0, 'PNIEC')",16566.380802557585,0.23458421810908459,5.011004477482633
14.1,E1,"(0, 'PNIEC')",5132.077482690913,0.22677911134082676,0.22529862955752722
14.2,E1,"(0, 'PNIEC')",5454.472669942747,0.2254478469970596,1.0320667303581357
15.1,E1,"(0, 'PNIEC')",1792.167568362363,0.22509410529981153,0.10815736682935202
15.2,E1,"(0, 'PNIEC')",2751.1293250475733,0.22492233310643026,0.10567853589857386
15.3,E1,"(0, 'PNIEC')",7201.966434379477,0.225137536345985,0.656933908088979
16.1,E1,"(0, 'PNIEC')",4096.725098966064,0.23068673689708014,0.09784859794989166
